HOP,2012,2013,2014,2015
Hag,,43441,44380,
Sav,,27736,27889,
Wis,,12544,12709,
Hus,,103446,107403,
Htp,,NA,75226,
Nhc,,NA,32177,
Ane,,14624,16558,
Odi,,25025,27655,
Dts,,11976,12350,
Sel,,29699,30438,
Col,,64116,66345,
Pas,,NA,47529,
Prc,,NA,18816,
Geb,,15325,21124,
Alk,,15711,16295,
Tan,,15407,15496,
Mul,,72673,76923,
Emr,,NA,62722,
Hsr,,NA,14201,
3Fr,,16367,16196,
Ros,,7313,NA,
Dia,,29887,29368,
