"ville_ID","ville_nom","ville_insee","ville_zip","ville_lambertX","ville_lambertY","departement_ID","region_ID","zone_ID","pays_ID","ville_longitude","ville_latitude","canton_ID","arrondissement_ID","admin_ID","territoire_sante","secteur_apa_ID","secteur_Smur_ID","secteur_Adps_ID","secteur_Vsav_ID","zone_proximite"
"290","WANGENBOURG-ENGENTHAL","67122",,"965","24154","67","42","1","1","7.307104","48.622882","33","3","0","2","5","4","38","0","9"
"291","ENGWILLER","67123",,"987","24449","67","42","1","1","7.614948","48.884391","15","2","0","1","2","2","73","0","4"
"292","ENTZHEIM","67124",,"991","24057","67","42","1","1","7.634646","48.531500","8","6","0","2","6","3","47","0","10"
"293","EPFIG","67125",,"979","23858","67","42","1","1","7.465838","48.358457","1","5","0","3","9","5","1","0","7"
"294","ERCKARTSWILLER","67126",,"968","24426","67","42","1","1","7.359213","48.875577","17","4","0","1","2","4","21","0","9"
"295","ERGERSHEIM","67127",,"982","24095","67","42","1","1","7.528137","48.569409","14","3","0","2","7","3","12","0","5"
"296","ERNOLSHEIM-BRUCHE","67128",,"985","24090","67","42","1","1","7.565492","48.564835","14","3","0","2","7","3","11","0","5"
"297","ERNOLSHEIM-LES-SAVERNE","67129",,"970","24334","67","42","1","1","7.381721","48.792399","21","4","0","1","5","4","7","0","9"
"298","ESCHAU","67131",,"997","24012","67","42","1","1","7.715892","48.488301","8","6","0","2","6","3","48","0","10"
"299","ESCHBACH","67132",,"996","24444","67","42","1","1","7.73722222","48.875","35","7","0","1","4","2","25","0","4"
"300","ESCHBOURG","67133",,"964","24353","67","42","1","1","7.296309","48.813609","17","4","0","1","1","4","21","0","9"
"301","ESCHWILLER","67134",,"950","24397","67","42","1","1","7.113289","48.858712","6","4","0","1","1","4","10","0","9"
"302","ETTENDORF","67135",,"985","24367","67","42","1","1","7.583123","48.813474","10","6","0","1","4","2","18","0","9"
"303","EYWILLER","67136",,"951","24411","67","42","1","1","7.133364","48.870664","6","4","0","1","1","4","10","0","9"
"304","FEGERSHEIM","67137",,"994","24014","67","42","1","1","7.679548","48.489530","8","6","0","2","6","3","48","0","10"
"305","FESSENHEIM-LE-BAS","67138",,"983","24165","67","42","1","1","7.539099","48.633122","31","6","0","2","5","3","38","0","10"
"306","FLEXBOURG","67139",,"975","24092","67","42","1","1","7.431820","48.571934","33","3","0","2","7","3","12","0","5"
"307","FORSTFELD","67140",,"1018","24442","67","42","1","1","8.037069","48.859162","3","2","0","1","4","2","28","0","4"
"308","FORSTHEIM","67141",,"994","24467","67","42","1","1","7.714870","48.895416","35","7","0","1","4","2","25","0","4"
"309","FORT-LOUIS","67142",,"1020","24377","67","42","1","1","8.056384","48.801064","3","2","0","1","4","2","28","0","4"
"310","FOUCHY","67143",,"965","23812","67","42","1","1","7.263769","48.325611","32","5","0","3","9","5","37","0","7"
"311","FOUDAY","67144",,"958","23912","67","42","1","1","7.185696","48.420667","23","3","0","2","7","3","32","0","5"
"312","FRIEDOLSHEIM","67145",,"978","24244","67","42","1","1","7.484972","48.706166","10","6","0","1","5","4","7","0","9"
"313","FRIESENHEIM","67146",,"995","23812","67","42","1","1","7.881788","48.373357","2","5","0","3","8","5","14","0","7"
"314","FROESCHWILLER","67147",,"994","24519","67","42","1","1","7.721122","48.945677","35","7","0","1","3","2","23","0","4"
"315","FROHMUHL","67148",,"962","24458","67","42","1","1","7.280870","48.909208","17","4","0","1","1","4","21","0","9"
"316","FURCHHAUSEN","67149",,"975","24255","67","42","1","1","7.439227","48.718722","21","4","0","1","5","4","7","0","9"
"317","FURDENHEIM","67150",,"985","24143","67","42","1","1","7.563408","48.613021","31","6","0","2","6","3","73","0","10"
"318","GAMBSHEIM","67151",,"1008","24248","67","42","1","1","7.882959","48.691475","5","6","0","1","6","3","73","0","4"
"319","GEISPOLSHEIM","67152",,"992","24039","67","42","1","1","7.643779","48.515161","8","6","0","2","6","3","47","0","10"
"320","GEISWILLER","67153",,"979","24334","67","42","1","1","7.505352","48.787986","10","6","0","1","5","4","5","0","9"
"321","GERSTHEIM","67154",,"997","23893","67","42","1","1","7.701995","48.381383","7","5","0","2","8","3","14","0","7"
"322","GERTWILLER","67155",,"979","23915","67","42","1","1","7.467860","48.411221","1","5","0","3","8","5","1","0","7"
"323","GEUDERTHEIM","67156",,"998","24274","67","42","1","1","7.755162","48.723636","5","6","0","1","4","3","6","0","4"
"324","GINGSHEIM","67158",,"986","24260","67","42","1","1","7.589045","48.716492","10","6","0","1","5","3","18","0","9"
"325","GOERLINGEN","67159",,"948","24325","67","42","1","1","7.082536","48.795652","6","4","0","1","1","1","51","0","9"
"326","GOERSDORF","67160",,"997","24530","67","42","1","1","7.766277","48.949376","35","7","0","1","3","2","23","0","12"
"327","GOTTENHOUSE","67161",,"969","24255","67","42","1","1","7.360278","48.720453","13","4","0","1","5","4","31","0","9"
"328","GOTTESHEIM","67162",,"977","24318","67","42","1","1","7.480077","48.774741","21","4","0","1","5","4","7","0","9"
"329","GOUGENHEIM","67163",,"984","24242","67","42","1","1","7.565836","48.702006","31","6","0","2","5","3","18","0","10"
"330","GOXWILLER","67164",,"980","23940","67","42","1","1","7.486678","48.432814","16","5","0","2","8","3","1","0","7"
"331","GRANDFONTAINE","67165",,"956","23991","67","42","1","1","7.161283","48.493289","23","3","0","2","7","3","32","0","5"
"332","GRASSENDORF","67166",,"987","24376","67","42","1","1","7.612930","48.819719","10","6","0","1","4","2","73","0","9"
"333","GRENDELBRUCH","67167",,"968","23999","67","42","1","1","7.323583","48.492208","18","3","0","2","7","3","36","0","5"
"334","GRESSWILLER","67168",,"976","24051","67","42","1","1","7.431760","48.535358","14","3","0","2","7","3","26","0","5"
"335","GRIES","67169",,"1002","24311","67","42","1","1","7.814117","48.752190","5","6","0","1","4","2","19","0","4"
"336","GRIESHEIM-PRES-MOLSHEIM","67172",,"983","24021","67","42","1","1","7.532334","48.502443","18","3","0","2","7","3","11","0","5"
"337","GRIESHEIM-SUR-SOUFFEL","67173",,"992","24173","67","42","1","1","7.668448","48.635742","31","6","0","2","6","3","73","0","10"
"338","GUMBRECHTSHOFFEN","67174",,"987","24470","67","42","1","1","7.631504","48.905406","15","2","0","1","2","2","25","0","4"
"339","GUNDERSHOFFEN","67176",,"990","24475","67","42","1","1","7.659194","48.906674","15","2","0","1","4","2","25","0","4"
"340","GUNSTETT","67177",,"997","24489","67","42","1","1","7.764337","48.915583","35","7","0","1","4","2","23","0","4"
