"Département - commune","Libellé de la commune","Région","Département","Code géographique du bassin de vie 2012","Libellé du bassin de vie 2012",,
"COM","LIB_COM","REG","DEP","BV","LIBBV",,
"01113","Condeissiat","82","01","01457","Vonnas",,
"01114","Confort","82","01","01033","Bellegarde-sur-Valserine",,
"01115","Confrançon","82","01","01266","Montrevel-en-Bresse",,
"01116","Contrevoz","82","01","01034","Belley",,
"01117","Conzieu","82","01","01034","Belley",,
"01118","Corbonod","82","01","74269","Seyssel",,
"01119","Corcelles","82","01","01185","Hauteville-Lompnes",,
"01121","Corlier","82","01","01185","Hauteville-Lompnes",,
"01122","Cormaranche-en-Bugey","82","01","01185","Hauteville-Lompnes",,
"01123","Cormoranche-sur-Saône","82","01","71090","La Chapelle-de-Guinchay - Crêches-sur-Saône",,
"01124","Cormoz","82","01","39475","Saint-Amour",,
"01125","Corveissiat","82","01","01053","Bourg-en-Bresse",,
"01127","Courmangoux","82","01","39475","Saint-Amour",,
"01128","Courtes","82","01","01305","Pont-de-Vaux",,
"01129","Crans","82","01","01244","Meximieux",,
"01130","Cras-sur-Reyssouze","82","01","01266","Montrevel-en-Bresse",,
"01133","Cressin-Rochefort","82","01","01034","Belley",,
"01134","Crottet","82","01","01134","Crottet - Pont-de-Veyle",,
"01135","Crozet","82","01","74012","Annemasse",,
"01136","Cruzilles-lès-Mépillat","82","01","01134","Crottet - Pont-de-Veyle",,
"01138","Culoz","82","01","01034","Belley",,
"01139","Curciat-Dongalon","82","01","01266","Montrevel-en-Bresse",,
"01140","Curtafond","82","01","01266","Montrevel-en-Bresse",,
"01141","Cuzieu","82","01","01034","Belley",,
"01142","Dagneux","82","01","69123","Lyon",,
"01143","Divonne-les-Bains","82","01","01143","Divonne-les-Bains",,
"01144","Dommartin","82","01","71270","Mâcon",,
"01145","Dompierre-sur-Veyle","82","01","01053","Bourg-en-Bresse",,
"01146","Dompierre-sur-Chalaronne","82","01","01093","Châtillon-sur-Chalaronne",,
"01147","Domsure","82","01","39475","Saint-Amour",,
"01148","Dortan","82","01","01283","Oyonnax",,
"01149","Douvres","82","01","01004","Ambérieu-en-Bugey",,
"01150","Drom","82","01","01053","Bourg-en-Bresse",,
"01151","Druillat","82","01","01004","Ambérieu-en-Bugey",,
"01152","Échallon","82","01","01283","Oyonnax",,
"01153","Échenevex","82","01","01173","Gex",,
"01154","Étrez","82","01","01266","Montrevel-en-Bresse",,
"01155","Évosges","82","01","01185","Hauteville-Lompnes",,
"01156","Faramans","82","01","01244","Meximieux",,
"01157","Fareins","82","01","69123","Lyon",,
"01158","Farges","82","01","74012","Annemasse",,
"01159","Feillens","82","01","71270","Mâcon",,
"01160","Ferney-Voltaire","82","01","74012","Annemasse",,
"01162","Flaxieu","82","01","01034","Belley",,
"01163","Foissiat","82","01","01266","Montrevel-en-Bresse",,
"01165","Francheleins","82","01","69019","Belleville",,
"01166","Frans","82","01","69123","Lyon",,
"01167","Garnerans","82","01","01348","Saint-Didier-sur-Chalaronne - Thoissey",,
"01169","Genouilleux","82","01","69019","Belleville",,
"01170","Béard-Géovreissiat","82","01","01269","Nantua",,
"01171","Géovreisset","82","01","01283","Oyonnax",,
"01172","Germagnat","82","01","01053","Bourg-en-Bresse",,
"01173","Gex","82","01","01173","Gex",,
"01174","Giron","82","01","01033","Bellegarde-sur-Valserine",,
"01175","Gorrevod","82","01","01305","Pont-de-Vaux",,
"01176","Le Grand-Abergement","82","01","01185","Hauteville-Lompnes",,
"01177","Grand-Corent","82","01","01053","Bourg-en-Bresse",,
"01179","Grièges","82","01","01134","Crottet - Pont-de-Veyle",,
"01180","Grilly","82","01","01143","Divonne-les-Bains",,
"01181","Groissiat","82","01","01283","Oyonnax",,
"01182","Groslée","82","01","38261","Morestel",,
"01183","Guéreins","82","01","69019","Belleville",,
"01184","Hautecourt-Romanèche","82","01","01053","Bourg-en-Bresse",,
"01185","Hauteville-Lompnes","82","01","01185","Hauteville-Lompnes",,
"01186","Hostiaz","82","01","01185","Hauteville-Lompnes",,
"01187","Hotonnes","82","01","01185","Hauteville-Lompnes",,
"01188","Illiat","82","01","01348","Saint-Didier-sur-Chalaronne - Thoissey",,
"01189","Injoux-Génissiat","82","01","01033","Bellegarde-sur-Valserine",,
"01190","Innimond","82","01","01034","Belley",,
"01191","Izenave","82","01","01185","Hauteville-Lompnes",,
"01192","Izernore","82","01","01283","Oyonnax",,
"01193","Izieu","82","01","38012","Aoste",,
"01194","Jassans-Riottier","82","01","69123","Lyon",,
"01195","Jasseron","82","01","01053","Bourg-en-Bresse",,
"01196","Jayat","82","01","01266","Montrevel-en-Bresse",,
"01197","Journans","82","01","01053","Bourg-en-Bresse",,
"01198","Joyeux","82","01","01443","Villars-les-Dombes",,
"01199","Jujurieux","82","01","01004","Ambérieu-en-Bugey",,
"01200","Labalme","82","01","01269","Nantua",,
"01202","Lagnieu","82","01","01202","Lagnieu",,
